2026-03-17 11:27:10 [INFO   ] EmbedSim.output — EmbedSim init  T=0.04 s  dt=0.0001 s  solver=RK4  log=C:\EmbedSimProject\embed_sim_project\embedsim_log\output_20260317_112710.log
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00005  t=0.000550 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00005  t=0.000550 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00005  t=0.000550 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00005  t=0.000550 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00005  t=0.000600 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00005  t=0.000600 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00006  t=0.000600 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00006  t=0.000600 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00006  t=0.000650 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00006  t=0.000650 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00006  t=0.000650 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00006  t=0.000650 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00006  t=0.000700 s  3phase_gen                      (ThreePhaseGenerator)
