2026-03-16 06:40:56 [INFO   ] EmbedSim.speed — EmbedSim init  T=10.0 s  dt=0.02 s  solver=EULER  log=C:\EmbedSimProject\embed_sim_project\embedsim_log\speed_20260316_064056.log
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00004  t=0.080000 s  pi_ctrl                         (ScriptBlock)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00004  t=0.080000 s  plant_deriv                     (ScriptBlock)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00004  t=0.080000 s  plant_int                       (VectorIntegrator)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00004  t=0.080000 s  speed                           (VectorEnd)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00004  t=0.080000 s  control                         (VectorEnd)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00005  t=0.100000 s  setpoint                        (VectorConstant)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00005  t=0.100000 s  fb_delay                        (VectorDelay)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00005  t=0.100000 s  error_sum                       (VectorSum)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00005  t=0.100000 s  pi_ctrl                         (ScriptBlock)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00005  t=0.100000 s  plant_deriv                     (ScriptBlock)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00005  t=0.100000 s  plant_int                       (VectorIntegrator)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00005  t=0.100000 s  speed                           (VectorEnd)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00005  t=0.100000 s  control                         (VectorEnd)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00006  t=0.120000 s  setpoint                        (VectorConstant)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00006  t=0.120000 s  fb_delay                        (VectorDelay)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00006  t=0.120000 s  error_sum                       (VectorSum)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00006  t=0.120000 s  pi_ctrl                         (ScriptBlock)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00006  t=0.120000 s  plant_deriv                     (ScriptBlock)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00006  t=0.120000 s  plant_int                       (VectorIntegrator)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00006  t=0.120000 s  speed                           (VectorEnd)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00006  t=0.120000 s  control                         (VectorEnd)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00007  t=0.140000 s  setpoint                        (VectorConstant)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00007  t=0.140000 s  fb_delay                        (VectorDelay)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00007  t=0.140000 s  error_sum                       (VectorSum)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00007  t=0.140000 s  pi_ctrl                         (ScriptBlock)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00007  t=0.140000 s  plant_deriv                     (ScriptBlock)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00007  t=0.140000 s  plant_int                       (VectorIntegrator)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00007  t=0.140000 s  speed                           (VectorEnd)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00007  t=0.140000 s  control                         (VectorEnd)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00008  t=0.160000 s  setpoint                        (VectorConstant)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00008  t=0.160000 s  fb_delay                        (VectorDelay)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00008  t=0.160000 s  error_sum                       (VectorSum)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00008  t=0.160000 s  pi_ctrl                         (ScriptBlock)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00008  t=0.160000 s  plant_deriv                     (ScriptBlock)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00008  t=0.160000 s  plant_int                       (VectorIntegrator)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00008  t=0.160000 s  speed                           (VectorEnd)
2026-03-16 06:40:56 [DEBUG  ] EmbedSim.speed — EXEC   step=00008  t=0.160000 s  control                         (VectorEnd)
