2026-03-17 16:09:03 [INFO   ] EmbedSim.sink — EmbedSim init  T=0.01 s  dt=1e-06 s  solver=RK4  log=C:\EmbedSimProject\embed_sim_project\embedsim_log\sink_20260317_160903.log
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00003  t=0.000003 s  sink                            (VectorEnd)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00003  t=0.000003 s  vref                            (VectorStep)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00003  t=0.000003 s  fb                              (VectorDelay)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00003  t=0.000003 s  ai_pi                           (AIPIController)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00003  t=0.000003 s  buck                            (BuckConverterBlock)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00003  t=0.000003 s  sink                            (VectorEnd)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00003  t=0.000003 s  vref                            (VectorStep)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00003  t=0.000003 s  fb                              (VectorDelay)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00003  t=0.000003 s  ai_pi                           (AIPIController)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00003  t=0.000003 s  buck                            (BuckConverterBlock)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00003  t=0.000003 s  sink                            (VectorEnd)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00003  t=0.000004 s  vref                            (VectorStep)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00003  t=0.000004 s  fb                              (VectorDelay)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00003  t=0.000004 s  ai_pi                           (AIPIController)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00003  t=0.000004 s  buck                            (BuckConverterBlock)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00003  t=0.000004 s  sink                            (VectorEnd)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00004  t=0.000004 s  vref                            (VectorStep)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00004  t=0.000004 s  fb                              (VectorDelay)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00004  t=0.000004 s  ai_pi                           (AIPIController)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00004  t=0.000004 s  buck                            (BuckConverterBlock)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00004  t=0.000004 s  sink                            (VectorEnd)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00004  t=0.000005 s  vref                            (VectorStep)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00004  t=0.000005 s  fb                              (VectorDelay)
