2026-03-17 11:01:21 [INFO   ] EmbedSim.output — EmbedSim init  T=4.0 s  dt=0.01 s  solver=RK4  log=C:\EmbedSimProject\embed_sim_project\embedsim_log\output_20260317_110121.log
2026-03-17 11:01:21 [DEBUG  ] EmbedSim.output — PARSE  cosine_source                   type=SinusoidalGenerator        dynamic=False  loop_breaker=False
2026-03-17 11:01:21 [DEBUG  ] EmbedSim.output — PARSE  sin_source                      type=SinusoidalGenerator        dynamic=False  loop_breaker=False
2026-03-17 11:01:21 [DEBUG  ] EmbedSim.output — PARSE  const_1                         type=VectorConstant             dynamic=False  loop_breaker=False
2026-03-17 11:01:21 [DEBUG  ] EmbedSim.output — PARSE  source_sum                      type=VectorSum                  dynamic=False  loop_breaker=False
2026-03-17 11:01:21 [DEBUG  ] EmbedSim.output — PARSE  gain                            type=VectorGain                 dynamic=False  loop_breaker=False
2026-03-17 11:01:21 [DEBUG  ] EmbedSim.output — PARSE  integrator                      type=VectorIntegrator           dynamic=True  loop_breaker=False
2026-03-17 11:01:21 [DEBUG  ] EmbedSim.output — PARSE  output                          type=VectorEnd                  dynamic=False  loop_breaker=False
2026-03-17 11:01:21 [INFO   ] EmbedSim.output — Graph resolved: 7 blocks  (1 dynamic, 6 static, 0 loop breakers)
2026-03-17 11:01:21 [INFO   ] EmbedSim.output — run() start  T=4.0 s  dt=0.01 s  steps=400  solver=RK4
2026-03-17 11:01:21 [DEBUG  ] EmbedSim.output — EXEC   step=00000  t=0.000000 s  cosine_source                   (SinusoidalGenerator)
2026-03-17 11:01:21 [DEBUG  ] EmbedSim.output — EXEC   step=00000  t=0.000000 s  sin_source                      (SinusoidalGenerator)
2026-03-17 11:01:21 [DEBUG  ] EmbedSim.output — EXEC   step=00000  t=0.000000 s  const_1                         (VectorConstant)
2026-03-17 11:01:21 [DEBUG  ] EmbedSim.output — EXEC   step=00000  t=0.000000 s  source_sum                      (VectorSum)
2026-03-17 11:01:21 [DEBUG  ] EmbedSim.output — EXEC   step=00000  t=0.000000 s  gain                            (VectorGain)
2026-03-17 11:01:21 [DEBUG  ] EmbedSim.output — EXEC   step=00000  t=0.000000 s  integrator                      (VectorIntegrator)
2026-03-17 11:01:21 [DEBUG  ] EmbedSim.output — EXEC   step=00000  t=0.000000 s  output                          (VectorEnd)
2026-03-17 11:01:21 [DEBUG  ] EmbedSim.output — EXEC   step=00000  t=0.005000 s  cosine_source                   (SinusoidalGenerator)
2026-03-17 11:01:21 [DEBUG  ] EmbedSim.output — EXEC   step=00000  t=0.005000 s  sin_source                      (SinusoidalGenerator)
2026-03-17 11:01:21 [DEBUG  ] EmbedSim.output — EXEC   step=00000  t=0.005000 s  const_1                         (VectorConstant)
2026-03-17 11:01:21 [DEBUG  ] EmbedSim.output — EXEC   step=00000  t=0.005000 s  source_sum                      (VectorSum)
