2026-03-17 17:28:38 [INFO   ] EmbedSim.sink — EmbedSim init  T=0.1 s  dt=0.0001 s  solver=EULER  log=C:\EmbedSimProject\embed_sim_project\embedsim_log\sink_20260317_172838.log
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — PARSE  sine_a                          type=SineSource                 dynamic=False  loop_breaker=False
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — PARSE  gain_b                          type=GainBlock                  dynamic=False  loop_breaker=False
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — PARSE  summer                          type=SumBlock                   dynamic=False  loop_breaker=False
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — PARSE  sink                            type=VectorEnd                  dynamic=False  loop_breaker=False
2026-03-17 17:28:38 [INFO   ] EmbedSim.sink — Graph resolved: 4 blocks  (0 dynamic, 4 static, 0 loop breakers)
2026-03-17 17:28:38 [INFO   ] EmbedSim.sink — run() start  T=0.1 s  dt=0.0001 s  steps=1000  solver=EULER
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  sine_a                          (SineSource)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  gain_b                          (GainBlock)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  summer                          (SumBlock)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00000  t=0.000000 s  sink                            (VectorEnd)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00001  t=0.000100 s  sine_a                          (SineSource)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00001  t=0.000100 s  gain_b                          (GainBlock)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00001  t=0.000100 s  summer                          (SumBlock)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00001  t=0.000100 s  sink                            (VectorEnd)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00002  t=0.000200 s  sine_a                          (SineSource)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00002  t=0.000200 s  gain_b                          (GainBlock)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00002  t=0.000200 s  summer                          (SumBlock)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00002  t=0.000200 s  sink                            (VectorEnd)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00003  t=0.000300 s  sine_a                          (SineSource)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00003  t=0.000300 s  gain_b                          (GainBlock)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00003  t=0.000300 s  summer                          (SumBlock)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00003  t=0.000300 s  sink                            (VectorEnd)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00004  t=0.000400 s  sine_a                          (SineSource)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00004  t=0.000400 s  gain_b                          (GainBlock)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00004  t=0.000400 s  summer                          (SumBlock)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00004  t=0.000400 s  sink                            (VectorEnd)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00005  t=0.000500 s  sine_a                          (SineSource)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00005  t=0.000500 s  gain_b                          (GainBlock)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00005  t=0.000500 s  summer                          (SumBlock)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00005  t=0.000500 s  sink                            (VectorEnd)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00006  t=0.000600 s  sine_a                          (SineSource)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00006  t=0.000600 s  gain_b                          (GainBlock)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00006  t=0.000600 s  summer                          (SumBlock)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00006  t=0.000600 s  sink                            (VectorEnd)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00007  t=0.000700 s  sine_a                          (SineSource)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00007  t=0.000700 s  gain_b                          (GainBlock)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00007  t=0.000700 s  summer                          (SumBlock)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00007  t=0.000700 s  sink                            (VectorEnd)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00008  t=0.000800 s  sine_a                          (SineSource)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00008  t=0.000800 s  gain_b                          (GainBlock)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00008  t=0.000800 s  summer                          (SumBlock)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00008  t=0.000800 s  sink                            (VectorEnd)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00009  t=0.000900 s  sine_a                          (SineSource)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00009  t=0.000900 s  gain_b                          (GainBlock)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00009  t=0.000900 s  summer                          (SumBlock)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00009  t=0.000900 s  sink                            (VectorEnd)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00010  t=0.001000 s  sine_a                          (SineSource)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00010  t=0.001000 s  gain_b                          (GainBlock)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00010  t=0.001000 s  summer                          (SumBlock)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00010  t=0.001000 s  sink                            (VectorEnd)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00011  t=0.001100 s  sine_a                          (SineSource)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00011  t=0.001100 s  gain_b                          (GainBlock)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00011  t=0.001100 s  summer                          (SumBlock)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00011  t=0.001100 s  sink                            (VectorEnd)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00012  t=0.001200 s  sine_a                          (SineSource)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00012  t=0.001200 s  gain_b                          (GainBlock)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00012  t=0.001200 s  summer                          (SumBlock)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00012  t=0.001200 s  sink                            (VectorEnd)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00013  t=0.001300 s  sine_a                          (SineSource)
2026-03-17 17:28:38 [DEBUG  ] EmbedSim.sink — EXEC   step=00013  t=0.001300 s  gain_b                          (GainBlock)
