2026-03-19 17:35:22 [INFO   ] EmbedSim.Sink — EmbedSim init  T=0.04 s  dt=1e-05 s  solver=RK4  log=C:\EmbedSimProject\embed_sim_project\embedsim_log\Sink_20260319_173522.log
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00001  t=0.000015 s  ThreePhaseSine                  (ThreePhaseGenerator)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00001  t=0.000015 s  cg_start                        (CodeGenStart)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00001  t=0.000015 s  Clarke                          (ClarkeTransformBlock)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00001  t=0.000015 s  Theta                           (VectorConstant)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00001  t=0.000015 s  Park                            (ParkTransformBlock)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00001  t=0.000015 s  cg_end                          (CodeGenEnd)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00001  t=0.000015 s  Sink                            (VectorEnd)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00001  t=0.000015 s  ThreePhaseSine                  (ThreePhaseGenerator)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00001  t=0.000015 s  cg_start                        (CodeGenStart)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00001  t=0.000015 s  Clarke                          (ClarkeTransformBlock)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00001  t=0.000015 s  Theta                           (VectorConstant)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00001  t=0.000015 s  Park                            (ParkTransformBlock)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00001  t=0.000015 s  cg_end                          (CodeGenEnd)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00001  t=0.000015 s  Sink                            (VectorEnd)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00001  t=0.000020 s  ThreePhaseSine                  (ThreePhaseGenerator)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00001  t=0.000020 s  cg_start                        (CodeGenStart)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00001  t=0.000020 s  Clarke                          (ClarkeTransformBlock)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00001  t=0.000020 s  Theta                           (VectorConstant)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00001  t=0.000020 s  Park                            (ParkTransformBlock)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00001  t=0.000020 s  cg_end                          (CodeGenEnd)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00001  t=0.000020 s  Sink                            (VectorEnd)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00002  t=0.000020 s  ThreePhaseSine                  (ThreePhaseGenerator)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00002  t=0.000020 s  cg_start                        (CodeGenStart)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00002  t=0.000020 s  Clarke                          (ClarkeTransformBlock)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00002  t=0.000020 s  Theta                           (VectorConstant)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00002  t=0.000020 s  Park                            (ParkTransformBlock)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00002  t=0.000020 s  cg_end                          (CodeGenEnd)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00002  t=0.000020 s  Sink                            (VectorEnd)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00002  t=0.000025 s  ThreePhaseSine                  (ThreePhaseGenerator)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00002  t=0.000025 s  cg_start                        (CodeGenStart)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00002  t=0.000025 s  Clarke                          (ClarkeTransformBlock)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00002  t=0.000025 s  Theta                           (VectorConstant)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00002  t=0.000025 s  Park                            (ParkTransformBlock)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00002  t=0.000025 s  cg_end                          (CodeGenEnd)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00002  t=0.000025 s  Sink                            (VectorEnd)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00002  t=0.000025 s  ThreePhaseSine                  (ThreePhaseGenerator)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00002  t=0.000025 s  cg_start                        (CodeGenStart)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00002  t=0.000025 s  Clarke                          (ClarkeTransformBlock)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00002  t=0.000025 s  Theta                           (VectorConstant)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00002  t=0.000025 s  Park                            (ParkTransformBlock)
